accessionid,T_repro,RGRinf
6961,34.5,161.6123292
6911,35,104.5193615
7127,36,121.8870933
9507,36,434.4664553
6970,37,157.0026915
763,38,127.5800078
9653,38,121.4949071
8311,39,160.330043
9537,39.5,289.3118867
7394,40,144.5777317
9560,40,262.6889655
9606,40,221.0527409
10015,40,136.197343
7077,40.5,100.057038
9544,41.5,206.4442379
6979,42,130.1685481
9657,42,115.0545893
6987,42.5,108.8502995
7382,42.5,136.796708
9941,42.5,131.2694881
6938,43,130.672131
7063,43,131.3887796
7347,43,133.67548
9933,43.5,103.7340007
9943,43.5,195.8553395
8214,44,110.7427139
9944,44,117.1588843
9958,44.5,124.0601872
9669,45,141.917183
6898,45.5,116.9720232
9600,46,141.3407107
6180,46.5,123.5330511
7028,46.5,131.9637557
9758,47,155.1356502
8354,47.5,140.4035393
8357,47.5,143.2414903
8424,47.5,138.0381618
9726,47.5,171.6963959
6243,48.5,119.9915716
6940,48.5,128.8302284
6958,48.5,121.4635629
6959,49,121.1592415
7092,49,118.7977797
88,50,100.4288787
7186,50,115.3945346
7424,50,123.838517
6903,50.5,140.1410457
6929,50.5,130.7899718
765,51,120.7149011
7296,51,140.2547257
9939,51,129.1217197
8312,52,116.037285
6909,52.5,151.9573594
9637,52.5,123.738852
9784,52.5,161.0104232
9697,53,148.1923277
9737,53,119.4528242
9649,53.5,140.4559054
9659,53.5,124.4404075
159,54.5,121.8254113
6922,54.5,129.1155052
7209,55,106.1258172
9749,55,107.2013552
7320,56,181.2035716
7143,56.5,121.2228152
9057,56.5,122.3378629
6108,57,125.0630851
7071,57,118.4293628
9562,57,98.88721714
7002,58,112.9705401
7373,58,111.2771239
6195,59,99.98816239
7165,59,109.1601491
7287,59,112.5635544
7288,59,112.0813891
7316,59,135.4256433
9997,59,97.18363965
6915,59.5,121.1897691
7111,59.5,109.0648326
7192,59.5,143.3840578
9625,60,142.189319
7298,60.5,104.1108535
9640,60.5,121.1957859
5165,61,116.7281891
9427,61,112.982137
6901,61.5,109.5763271
7213,61.5,97.18764884
6945,62,111.3904725
7000,62,110.6260294
9437,62,105.8864462
9741,62,99.30509389
9743,62,111.6237585
6177,64,115.7140464
6963,64,102.8912599
8351,64,110.993171
8247,65,113.7523636
9598,65,100.5351149
6040,65.5,113.754933
8240,66,101.0074091
9549,67,128.761761
9528,67.5,111.7218099
5151,71,108.8483366
9524,72.5,139.6246773
8376,75,94.40830773
6184,76,92.39410056
6244,76,97.25049079
9553,76,101.0970077
5784,76.5,96.1544725
9518,76.5,117.5807779
5768,77,99.23209959
8222,77,129.0643889
9535,78.5,112.6905455
9567,78.5,127.9130194
8231,82.5,83.22481334
6076,83.5,117.5442718
9586,84,97.78566634
7008,84.5,102.6422365
9568,86.5,80.72558745
6209,87,82.18075397
9589,87,91.72217906
9581,88.5,100.1469213
9947,90,72.29768578
6009,90.5,93.70578534
9470,90.5,107.4240821
9587,91,174.219927
9594,92.5,125.5395751
6151,93,93.04406407
6074,93.5,149.6812424
9577,97,128.2611907
9058,99,86.01873987
9371,99,74.55853598
9394,99.5,80.53816925
9576,100,113.025679
9481,103,109.5159712
8230,110.5,83.45646952
9520,112,125.6980012
9416,114.5,117.3658372
6216,115.5,99.15091605
10006,117,100.7491165
6145,121,94.94606167
9399,128,103.3057002
9548,153,91.56755628
