"","accessionid","T_repro","RGRinf","rel.RGR","rel.T_Repro","Ranking"
"4",9507,36,434.4664553,1,0.235294117647059,1.23529411764706
"142",9548,153,91.56755628,0.210758633176346,1,1.21075863317635
"141",9399,128,103.3057002,0.237776009953789,0.836601307189543,1.07437731714333
"136",9520,112,125.6980012,0.289315779542071,0.73202614379085,1.02134192333292
"137",9416,114.5,117.3658372,0.27013785706185,0.748366013071895,1.01850387013375
"140",6145,121,94.94606167,0.218534850071312,0.790849673202614,1.00938452327393
"139",10006,117,100.7491165,0.231891588570244,0.764705882352941,0.996597470923185
"125",9587,91,174.219927,0.400997418499665,0.594771241830065,0.99576866032973
"138",6216,115.5,99.15091605,0.228213052677533,0.754901960784314,0.983115013461847
"128",6074,93.5,149.6812424,0.344517374296814,0.611111111111111,0.955628485407925
"129",9577,97,128.2611907,0.295215405321535,0.633986928104575,0.92920233342611
"134",9481,103,109.5159712,0.252070027188587,0.673202614379085,0.925272641567672
"9",9537,39.5,289.3118867,0.665901551594425,0.258169934640523,0.924071486234948
"135",8230,110.5,83.45646952,0.192089558358132,0.722222222222222,0.914311780580354
"133",9576,100,113.025679,0.260148229215891,0.65359477124183,0.913743000457721
"126",9594,92.5,125.5395751,0.288951134359302,0.604575163398693,0.893526297757995
"11",9560,40,262.6889655,0.604624274890481,0.261437908496732,0.866062183387213
"130",9058,99,86.01873987,0.197987068554243,0.647058823529412,0.845045892083655
"124",9470,90.5,107.4240821,0.247255181129746,0.591503267973856,0.838758449103602
"132",9394,99.5,80.53816925,0.185372583469967,0.650326797385621,0.835699380855588
"127",6151,93,93.04406407,0.214157072277888,0.607843137254902,0.82200020953279
"131",9371,99,74.55853598,0.171609419025267,0.647058823529412,0.818668242554679
"115",6076,83.5,117.5442718,0.270548555282215,0.545751633986928,0.816300189269143
"121",9581,88.5,100.1469213,0.230505531735122,0.57843137254902,0.808936904284141
"113",9567,78.5,127.9130194,0.294414028608206,0.513071895424837,0.807485924033042
"123",6009,90.5,93.70578534,0.215680138700918,0.591503267973856,0.807183406674774
"111",8222,77,129.0643889,0.297064105469042,0.503267973856209,0.800332079325251
"103",9524,72.5,139.6246773,0.321370443210832,0.473856209150327,0.795226652361158
"117",7008,84.5,102.6422365,0.236248933025509,0.552287581699346,0.788536514724855
"64",7320,56,181.2035716,0.417071489385478,0.366013071895425,0.783084561280902
"120",9589,87,91.72217906,0.211114524357618,0.568627450980392,0.779741975338011
"116",9586,84,97.78566634,0.225070693369132,0.549019607843137,0.774090301212269
"112",9535,78.5,112.6905455,0.259376861263517,0.513071895424837,0.772448756688353
"109",9518,76.5,117.5807779,0.270632580411324,0.5,0.770632580411324
"12",9606,40,221.0527409,0.508791273073919,0.261437908496732,0.770229181570651
"119",6209,87,82.18075397,0.189153277468232,0.568627450980392,0.757780728448624
"122",9947,90,72.29768578,0.166405679651559,0.588235294117647,0.754640973769206
"118",9568,86.5,80.72558745,0.1858039590059,0.565359477124183,0.751163436130083
"15",9544,41.5,206.4442379,0.47516726638297,0.271241830065359,0.74640909644833
"25",9943,43.5,195.8553395,0.450795077757526,0.284313725490196,0.735108803247722
"100",9549,67,128.761761,0.296367554800266,0.437908496732026,0.734276051532292
"110",5768,77,99.23209959,0.228399910693865,0.503267973856209,0.731667884550074
"114",8231,82.5,83.22481334,0.191556361428486,0.53921568627451,0.730772047702996
"107",9553,76,101.0970077,0.232692320584779,0.496732026143791,0.729424346728569
"108",5784,76.5,96.1544725,0.221316217459424,0.5,0.721316217459424
"106",6244,76,97.25049079,0.223838893897685,0.496732026143791,0.720570920041476
"81",9625,60,142.189319,0.327273411480797,0.392156862745098,0.719430274225895
"80",7192,59.5,143.3840578,0.330023310317463,0.388888888888889,0.718912199206352
"102",5151,71,108.8483366,0.250533350209604,0.464052287581699,0.714585637791303
"55",9784,52.5,161.0104232,0.370593451429575,0.343137254901961,0.713730706331535
"105",6184,76,92.39410056,0.212661068381451,0.496732026143791,0.709393094525242
"104",8376,75,94.40830773,0.217297115987495,0.490196078431373,0.707493194418868
"38",9726,47.5,171.6963959,0.395189073415215,0.310457516339869,0.705646589755084
"101",9528,67.5,111.7218099,0.257147148041282,0.441176470588235,0.698323618629517
"76",7316,59,135.4256433,0.311705637219997,0.38562091503268,0.697326552252677
"53",6909,52.5,151.9573594,0.349756252862084,0.343137254901961,0.692893507764045
"98",6040,65.5,113.754933,0.261826733945321,0.428104575163399,0.68993130910872
"56",9697,53,148.1923277,0.341090378537217,0.34640522875817,0.687495607295387
"96",8247,65,113.7523636,0.261820820024998,0.42483660130719,0.686657421332187
"93",6177,64,115.7140464,0.266335973671659,0.418300653594771,0.684636627266431
"83",9640,60.5,121.1957859,0.278953149136253,0.395424836601307,0.67437798573756
"95",8351,64,110.993171,0.255470059071325,0.418300653594771,0.673770712666096
"58",9649,53.5,140.4559054,0.323283659041099,0.349673202614379,0.672956861655478
"78",6915,59.5,121.1897691,0.278939300426124,0.388888888888889,0.667828189315013
"84",5165,61,116.7281891,0.268670199220326,0.398692810457516,0.667363009677843
"34",9758,47,155.1356502,0.357071641107202,0.30718954248366,0.664261183590863
"99",8240,66,101.0074091,0.232486093846426,0.431372549019608,0.663858642866034
"92",9743,62,111.6237585,0.256921465715744,0.405228758169935,0.662150223885679
"88",6945,62,111.3904725,0.25638451747232,0.405228758169935,0.661613275642255
"67",6108,57,125.0630851,0.28785440987301,0.372549019607843,0.660403429480853
"89",7000,62,110.6260294,0.254625018918002,0.405228758169935,0.659853777087937
"85",9427,61,112.982137,0.260048009741018,0.398692810457516,0.658740820198534
"97",9598,65,100.5351149,0.231399026722513,0.42483660130719,0.656235628029702
"50",7296,51,140.2547257,0.322820609022977,0.333333333333333,0.65615394235631
"94",6963,64,102.8912599,0.236822103628123,0.418300653594771,0.655122757222895
"86",6901,61.5,109.5763271,0.252208946774354,0.401960784313726,0.65416973108808
"61",6922,54.5,129.1155052,0.297181758510782,0.356209150326797,0.653390908837579
"47",6903,50.5,140.1410457,0.322558954760345,0.330065359477124,0.652624314237469
"66",9057,56.5,122.3378629,0.281581837694525,0.369281045751634,0.650862883446159
"90",9437,62,105.8864462,0.243716045067013,0.405228758169935,0.648944803236947
"65",7143,56.5,121.2228152,0.27901536176434,0.369281045751634,0.648296407515974
"68",7071,57,118.4293628,0.27258574593112,0.372549019607843,0.645134765538963
"74",7287,59,112.5635544,0.259084569192516,0.38562091503268,0.644705484225196
"75",7288,59,112.0813891,0.257974782017653,0.38562091503268,0.643595697050333
"36",8357,47.5,143.2414903,0.329695166456732,0.310457516339869,0.640152682796602
"79",7111,59.5,109.0648326,0.251031653352134,0.388888888888889,0.639920542241023
"70",7002,58,112.9705401,0.260021317461652,0.379084967320261,0.639106284781914
"73",7165,59,109.1601491,0.251251040830355,0.38562091503268,0.636871955863035
"60",159,54.5,121.8254113,0.280402341340436,0.356209150326797,0.636611491667234
"59",9659,53.5,124.4404075,0.28642120923714,0.349673202614379,0.636094411851519
"71",7373,58,111.2771239,0.256123625984342,0.379084967320261,0.635208593304603
"82",7298,60.5,104.1108535,0.239629210103485,0.395424836601307,0.635054046704792
"91",9741,62,99.30509389,0.228567919752124,0.405228758169935,0.633796677922058
